"Data Source","World Development Indicators",

"Last Updated Date","2018-02-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.550723349693097","0.607900411449694","0.969458795306644","0.801919174976177","1.06242003295885","0.522136074337234","1.38558405016911","2.58612677661736","2.85537650336187","2.08009266048495","2.92056600686017","2.65039388933567","2.93283372244438","","","",
"Angola","AGO","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.65911821214343","1.73978177422108","2.01921944074412","1.41470538924073","2.13179778670182","1.67721646393826","2.81240339432466","1.6852175417811","2.04436935752555","2.40784051512228","2.02464637963424","3.02243534532962","2.2137640191505","2.7163344521679","2.66391720736108","2.06125466361568","2.1550942738678","2.13731650332463","3.08040839243067","2.12491219482846","","","",
"Albania","ALB","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.71300445532833","1.74619754628048","2.02450940476327","2.09512775678097","2.51017141656047","2.25841795816027","2.29222401883407","2.25632589321577","2.25210415138827","2.67940487027608","2.70645544320724","2.57513609220797","2.62917110005578","2.69389845031128","2.83357574292141","2.47656802965785","2.84917085992716","2.73570410001882","2.83598423579657","2.93637327545596","","","",
"Andorra","AND","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9826832955386","4.2356472227863","4.29707049498239","5.73758022900313","3.93346563928312","3.97654822680877","3.9797635075","4.1095890413118","3.94617981496637","3.91626013954338","3.45970884882557","3.56612237269886","4.58632291177794","4.82507081909656","5.03753714401857","6.24202669690614","4.92628930611444","5.74703987727854","9.69235679434577","6.34144600379996","","","",
"Arab World","ARB","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.00404811662891","2.0139392307146","2.07078900914495","2.17730806322274","2.33159311199638","2.33470521981821","2.58984964746045","2.54108011365817","2.45112334587261","2.31492358542847","2.13428100997371","2.13303193843802","2.16859441783943","2.10239028100575","2.83297827355993","2.49015895216139","2.53979194690344","2.69863945653532","2.88875956128641","3.0341159920087","","","",
"United Arab Emirates","ARE","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.08173815774542","1.94880556451174","1.94839581917838","2.05670677661355","1.91762947228465","1.6770585922995","1.94449209897612","1.71398298171712","1.67154036996612","1.45604252989122","1.36889724991564","1.38250695104094","1.55537723796266","1.92163410328097","3.03412594741979","2.83416558606507","2.73248804155118","2.55002588867876","2.55732608734808","2.6361515793596","","","",
"Argentina","ARG","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9664430856405","4.63164121842309","4.55304429746212","4.62421171427145","5.15231568602994","4.96580358156875","5.06593399236791","4.45294004904602","4.25102318284521","3.5223967580518","3.66423384815177","3.65486893608476","3.7830748408105","4.12109735204135","5.04078579917749","4.16348234485279","3.74539250299684","2.95895087365842","2.73502200838753","2.65267379758746","","","",
"Armenia","ARM","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.99627256214336","1.62114807270775","1.40749616256759","1.64491307395812","1.61241488516428","1.1375319992714","1.59147462239938","1.36133246305226","1.51657026905126","1.40445070404619","1.90505340097414","2.05288205347574","2.09928499772757","1.76477031286058","2.01000537643753","1.92271406298879","1.93890353610003","1.875681541349","1.94669099662931","1.92567566679549","","","",
"American Samoa","ASM","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
